ANIO;MES;DIA;HORA;PESPANIA;PPORTUGAL;
2007;07;01;1;5.99;3.882;
2007;07;01;2;5.356;3.6;
2007;07;01;3;4.99;3.057;
2007;07;01;4;4.4;3;
2007;07;01;5;4.024;2.94;
2007;07;01;6;3.974;2.9;
2007;07;01;7;3.924;2.669;
2007;07;01;8;3.924;2.416;
2007;07;01;9;2.566;2.566;
2007;07;01;10;3;3;
2007;07;01;11;3.043;3.043;
2007;07;01;12;3.507;3.507;
2007;07;01;13;3.5;3.5;
2007;07;01;14;4.16;4.16;
2007;07;01;15;4.4;3.8;
2007;07;01;16;3.974;3.3;
2007;07;01;17;3;3;
2007;07;01;18;3.974;3;
2007;07;01;19;3.974;2.914;
2007;07;01;20;3.974;2.9;
2007;07;01;21;3.924;3;
2007;07;01;22;3.974;3.8;
2007;07;01;23;5.17;5.17;
2007;07;01;24;5.174;4.78;
2007;07;02;1;5.05;3.55;
2007;07;02;2;4.136;2.997;
2007;07;02;3;3.987;2.606;
2007;07;02;4;3.987;2.483;
2007;07;02;5;2.52;2.207;
2007;07;02;6;2.52;2.207;
2007;07;02;7;2.606;2.606;
2007;07;02;8;3.1;3.1;
2007;07;02;9;3.59;3.59;
2007;07;02;10;3.882;3.882;
2007;07;02;11;5.05;4.36;
2007;07;02;12;5.7;4.807;
2007;07;02;13;5.8;5;
2007;07;02;14;5.9;5.22;
2007;07;02;15;5.8;4.5;
2007;07;02;16;5.8;4.43;
2007;07;02;17;5.9;4.4;
2007;07;02;18;5.9;4.5;
2007;07;02;19;5.9;4.5;
2007;07;02;20;5.8;4.008;
2007;07;02;21;5.7;3.5;
2007;07;02;22;5.2;3.507;
2007;07;02;23;5.15;3.9;
2007;07;02;24;5.4;3.314;
2007;07;03;1;5.689;3.171;
2007;07;03;2;4.569;2.866;
2007;07;03;3;4.3;2.567;
2007;07;03;4;4.3;2.543;
2007;07;03;5;3.886;2.497;
2007;07;03;6;3.836;2.525;
2007;07;03;7;3.836;2.824;
2007;07;03;8;3.886;3.37;
2007;07;03;9;3.875;3.875;
2007;07;03;10;4.166;4.166;
2007;07;03;11;5.569;4.46;
2007;07;03;12;5.815;4.68;
2007;07;03;13;5.869;5;
2007;07;03;14;5.869;5;
2007;07;03;15;5.869;4.38;
2007;07;03;16;5.815;4.38;
2007;07;03;17;5.869;4.46;
2007;07;03;18;5.869;4.38;
2007;07;03;19;5.869;4.166;
2007;07;03;20;5.702;3.508;
2007;07;03;21;5.669;3.03;
2007;07;03;22;4.669;3.013;
2007;07;03;23;4.514;3.508;
2007;07;03;24;4.35;2.95;
2007;07;04;1;3.936;3.55;
2007;07;04;2;3.925;2.927;
2007;07;04;3;3.936;2.7;
2007;07;04;4;3.886;2.543;
2007;07;04;5;3.875;2.377;
2007;07;04;6;3.786;2.316;
2007;07;04;7;3.875;2.7;
2007;07;04;8;3.936;3.39;
2007;07;04;9;4.3;3.882;
2007;07;04;10;5.729;4.25;
2007;07;04;11;5.821;4.5;
2007;07;04;12;5.821;5;
2007;07;04;13;5.869;5;
2007;07;04;14;5.8;5;
2007;07;04;15;5.8;4.4;
2007;07;04;16;5.821;4.23;
2007;07;04;17;5.821;4.107;
2007;07;04;18;5.815;4.36;
2007;07;04;19;5.669;4.16;
2007;07;04;20;5.4;3.55;
2007;07;04;21;4.821;3.1;
2007;07;04;22;4.821;3.15;
2007;07;04;23;4.569;3.956;
2007;07;04;24;4.569;2.998;
2007;07;05;1;4.953;2.903;
2007;07;05;2;4.504;2.7;
2007;07;05;3;4.619;2.506;
2007;07;05;4;4.1;2.377;
2007;07;05;5;3.986;2.311;
2007;07;05;6;3.936;2.45;
2007;07;05;7;4.1;2.7;
2007;07;05;8;4.504;3;
2007;07;05;9;4.569;3.85;
2007;07;05;10;5.689;4.256;
2007;07;05;11;5.902;4.72;
2007;07;05;12;6.003;5.606;
2007;07;05;13;6.003;5.8;
2007;07;05;14;6.003;5.807;
